-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Precipitation,2020,28.5,-106.875,0.11,0.65,0.65,0.08,0.14,0.68,3.11,0.87,2,0,0.05,0.5,0.74
Precipitation,2020,28.5,-107.5,0.17,0.86,0.85,0.12,0.15,0.72,3.33,0.96,2.02,0,0.05,0.53,0.81
Precipitation,2020,29,-105,0.13,0.09,0.08,0.03,0.11,0.25,0.47,0.3,2.08,0,0,0.63,0.35
Precipitation,2020,29,-105.625,0.06,0.05,0.05,0.01,0.01,0.25,0.97,0.34,2.02,0,0,0.53,0.36
Precipitation,2020,29,-106.25,0.04,0.09,0.13,0.01,0.02,0.24,1.93,0.44,1.58,0,0.02,0.48,0.42
Precipitation,2020,29,-106.875,0.06,0.29,0.45,0.04,0.09,0.41,2.98,0.75,1.32,0,0.04,0.47,0.58
Precipitation,2020,29,-107.5,0.09,0.45,0.65,0.07,0.12,0.53,3.27,0.85,1.33,0,0.05,0.45,0.66
Precipitation,2020,29.5,-105,0.16,0.14,0.12,0.03,0.07,0.2,0.39,0.22,2.11,0,0,0.61,0.34
Precipitation,2020,29.5,-105.625,0.08,0.1,0.14,0.01,0.02,0.2,0.98,0.31,1.77,0,0,0.47,0.34
Precipitation,2020,29.5,-106.25,0.06,0.09,0.17,0.01,0.01,0.15,2.12,0.42,1.09,0,0.01,0.45,0.38
Precipitation,2020,29.5,-106.875,0.08,0.19,0.4,0.03,0.04,0.21,3.08,0.63,0.64,0,0.02,0.5,0.49
Precipitation,2020,29.5,-107.5,0.09,0.26,0.55,0.04,0.07,0.3,3.37,0.8,0.56,0,0.02,0.47,0.55
Precipitation,2021,28,-105,0.14,0.18,0,0.07,0.11,1.49,1.09,1.7,0.37,0.24,0.37,0.17,0.5
Precipitation,2021,28,-105.625,0.28,0.22,0,0.1,0.09,2.36,1.67,2.62,0.66,0.27,0.59,0.21,0.76
Precipitation,2021,28,-106.25,0.59,0.29,0,0.1,0.16,2.85,2.74,3.54,1.02,0.28,0.67,0.48,1.07
Precipitation,2021,28,-106.875,1.04,0.34,0,0.03,0.18,2.97,4.05,4.29,1.24,0.23,0.63,1.14,1.35
Precipitation,2021,28,-107.5,1.14,0.35,0,0.05,0.17,3.01,4.39,4.45,1.37,0.2,0.64,1.19,1.42
Precipitation,2021,28.5,-105,0.18,0.36,0,0.14,0.18,1.79,1.32,1.68,0.38,0.19,0.42,0.16,0.57
Precipitation,2021,28.5,-105.625,0.31,0.35,0,0.16,0.11,2.15,2.05,2.59,0.7,0.12,0.6,0.2,0.78
Precipitation,2021,28.5,-106.25,0.53,0.41,0,0.15,0.16,2.3,2.88,3.35,1.05,0.14,0.61,0.39,1
Precipitation,2021,28.5,-106.875,0.8,0.5,0.01,0.06,0.2,2.45,3.87,3.69,1.18,0.13,0.52,0.88,1.2
Precipitation,2021,28.5,-107.5,0.88,0.5,0.01,0.06,0.19,2.56,3.93,4.02,1.26,0.13,0.52,1.02,1.26
Precipitation,2021,29,-105,0.23,0.49,0.01,0.22,0.33,2.02,1.41,1.72,0.4,0.18,0.36,0.11,0.62
Precipitation,2021,29,-105.625,0.34,0.47,0,0.2,0.17,2.28,2.23,2.61,0.8,0.09,0.51,0.17,0.82
Precipitation,2021,29,-106.25,0.49,0.49,0,0.16,0.15,1.98,3.06,3.14,1.22,0.09,0.49,0.38,0.97
Precipitation,2021,29,-106.875,0.64,0.58,0.01,0.07,0.17,1.83,4.06,3.07,1.3,0.09,0.38,0.75,1.09
Precipitation,2021,29,-107.5,0.71,0.6,0.01,0.04,0.16,1.94,4.08,3.22,1.37,0.09,0.35,0.91,1.13
Precipitation,2021,29.5,-105,0.22,0.44,0.01,0.28,0.41,1.68,1.21,1.5,0.42,0.12,0.25,0.08,0.55
Precipitation,2021,29.5,-105.625,0.3,0.46,0,0.21,0.19,2.03,1.91,2.26,0.9,0.08,0.34,0.18,0.74
Precipitation,2021,29.5,-106.25,0.42,0.49,0,0.12,0.09,1.76,2.71,2.8,1.45,0.06,0.32,0.41,0.89
Precipitation,2021,29.5,-106.875,0.52,0.56,0.01,0.05,0.08,1.41,3.77,2.7,1.53,0.05,0.27,0.73,0.98
Precipitation,2021,29.5,-107.5,0.54,0.59,0.02,0.01,0.07,1.41,4.03,2.63,1.6,0.05,0.22,0.84,1.01
Precipitation,2022,28,-105,0,0.01,0,0.06,0.02,0.49,0.73,3.93,0.98,0.87,0.02,0.01,0.6
Precipitation,2022,28,-105.625,0,0,0,0.01,0.02,1.1,1.24,5.39,1.48,1.11,0,0.02,0.87
Precipitation,2022,28,-106.25,0,0.1,0,0,0.02,1.99,2.62,7.59,2.03,1.24,0.01,0.09,1.32
Precipitation,2022,28,-106.875,0,0.3,0,0,0,3.03,4.37,9.74,2.66,1.21,0.01,0.27,1.82
Precipitation,2022,28,-107.5,0,0.3,0,0,0,3.41,4.49,9.45,2.71,1.26,0.01,0.32,1.84
Precipitation,2022,28.5,-105,0,0.01,0.03,0.03,0.03,0.76,0.81,4.19,0.94,1.09,0.02,0.03,0.67
Precipitation,2022,28.5,-105.625,0,0,0.01,0.01,0.01,1.49,1.11,5.24,1.2,1.37,0,0.04,0.88
Precipitation,2022,28.5,-106.25,0,0.03,0,0,0.01,2.23,2.04,6.69,1.59,1.56,0.01,0.1,1.2
Precipitation,2022,28.5,-106.875,0,0.13,0,0.01,0,2.61,3.45,8.62,2.13,1.53,0.02,0.25,1.58
Precipitation,2022,28.5,-107.5,0,0.16,0,0,0,3.01,3.65,8.97,2.32,1.53,0.02,0.29,1.68
Precipitation,2022,29,-105,0,0.01,0.09,0.01,0.04,0.98,0.85,4.16,0.84,1.01,0.03,0.05,0.68
Precipitation,2022,29,-105.625,0,0.01,0.03,0,0.01,1.64,1.18,5.18,1.05,1.41,0.01,0.06,0.89
Precipitation,2022,29,-106.25,0.01,0.03,0,0,0,2.34,1.97,5.73,1.38,1.8,0.01,0.09,1.12
Precipitation,2022,29,-106.875,0.01,0.08,0,0.01,0,2.35,3.02,6.48,1.8,1.82,0.03,0.21,1.33
Precipitation,2022,29,-107.5,0.01,0.1,0,0.01,0,2.49,3.25,6.95,1.92,1.82,0.03,0.25,1.42
Precipitation,2022,29.5,-105,0,0.01,0.14,0,0.04,0.98,0.78,3.41,0.67,0.8,0.06,0.06,0.59
Precipitation,2022,29.5,-105.625,0.01,0.03,0.05,0,0.01,1.54,1.2,4.48,0.84,1.37,0.04,0.06,0.81
Precipitation,2022,29.5,-106.25,0.02,0.06,0,0.01,0,2.27,1.99,4.89,1.13,2.08,0.03,0.07,1.06
Precipitation,2022,29.5,-106.875,0.03,0.07,0,0.02,0,2.34,2.82,4.9,1.47,2.26,0.03,0.13,1.18
Precipitation,2022,29.5,-107.5,0.03,0.09,0,0.02,0,2.3,3.03,4.95,1.54,2.15,0.03,0.2,1.21
Precipitation,2023,28,-105,0.04,0.3,0.71,0.02,1.62,0.12,0.29,0.92,0.76,0.57,0.51,0.01,0.49
Precipitation,2023,28,-105.625,0.06,0.4,0.87,0.03,1.25,0.08,0.29,1.33,0.68,0.43,0.51,0,0.5
Precipitation,2023,28,-106.25,0.1,0.46,0.96,0.04,1.09,0.08,0.65,1.95,0.82,0.63,0.48,0.03,0.61
Precipitation,2023,28,-106.875,0.21,0.57,1.09,0.02,0.98,0.08,1.31,2.38,1.12,0.99,0.39,0.09,0.77
Precipitation,2023,28,-107.5,0.2,0.57,1.11,0.01,1.01,0.08,1.44,2.36,1.1,0.9,0.37,0.1,0.78
Precipitation,2023,28.5,-105,0.03,0.34,0.93,0,1.6,0.09,0.2,0.78,0.47,0.3,0.45,0.01,0.44
Precipitation,2023,28.5,-105.625,0.02,0.31,1.02,0,1.32,0.08,0.27,1.4,0.47,0.14,0.43,0,0.46
Precipitation,2023,28.5,-106.25,0.04,0.26,0.96,0.01,1.15,0.09,0.5,2.04,0.74,0.26,0.4,0.02,0.54
Precipitation,2023,28.5,-106.875,0.08,0.3,0.95,0.03,0.92,0.09,0.92,2.31,1.17,0.59,0.33,0.05,0.65
Precipitation,2023,28.5,-107.5,0.1,0.3,0.95,0.02,0.96,0.1,1.05,2.3,1.19,0.67,0.33,0.06,0.68
Precipitation,2023,29,-105,0.02,0.39,0.79,0,1.5,0.09,0.17,0.73,0.26,0.16,0.4,0.02,0.38
Precipitation,2023,29,-105.625,0.01,0.3,0.89,0,1.32,0.1,0.3,1.4,0.32,0.09,0.38,0.02,0.43
Precipitation,2023,29,-106.25,0.02,0.23,0.8,0,1.11,0.12,0.5,2.08,0.67,0.2,0.35,0.04,0.51
Precipitation,2023,29,-106.875,0.06,0.26,0.7,0.03,0.78,0.1,0.78,2.4,1.14,0.38,0.28,0.06,0.59
Precipitation,2023,29,-107.5,0.07,0.27,0.69,0.03,0.76,0.11,0.91,2.39,1.19,0.49,0.27,0.06,0.61
Precipitation,2023,29.5,-105,0.01,0.41,0.55,0.01,1.36,0.15,0.22,1.1,0.25,0.1,0.39,0.07,0.39
Precipitation,2023,29.5,-105.625,0.01,0.33,0.62,0.01,1.22,0.17,0.34,1.49,0.28,0.14,0.37,0.06,0.42
Precipitation,2023,29.5,-106.25,0.01,0.26,0.56,0,0.96,0.15,0.5,1.84,0.59,0.29,0.32,0.06,0.47
Precipitation,2023,29.5,-106.875,0.04,0.32,0.43,0.01,0.61,0.11,0.68,2.07,0.99,0.35,0.25,0.08,0.5
Precipitation,2023,29.5,-107.5,0.06,0.34,0.43,0.03,0.5,0.1,0.81,2.22,1.06,0.42,0.23,0.09,0.53
Precipitation,2024,28,-105,0.01,0.07,0.01,0,0,0.88,1.04,0.71,1.57,0.01,0.03,0,0.36
Precipitation,2024,28,-105.625,0.03,0.02,0.01,0,0,1.12,1.22,0.92,1.65,0.02,0.02,0,0.42
Precipitation,2024,28,-106.25,0.22,0.07,0,0.01,0,1,2.58,1.63,2.01,0.04,0.01,0,0.63
Precipitation,2024,28,-106.875,0.61,0.2,0.01,0.02,0,0.77,4.91,2.86,1.48,0.04,0.01,0,0.92
Precipitation,2024,28,-107.5,0.61,0.17,0.01,0.03,0,0.92,4.91,2.88,1.15,0.07,0.01,0,0.9
Precipitation,2024,28.5,-105,0.03,0.06,0,0.01,0,0.56,1.17,0.47,1.35,0.01,0.04,0,0.31
Precipitation,2024,28.5,-105.625,0.04,0.04,0,0,0,0.88,1.25,0.63,1.17,0.05,0.02,0,0.34
Precipitation,2024,28.5,-106.25,0.17,0.08,0.01,0,0,0.97,2.1,1.11,1.12,0.08,0.01,0,0.47
Precipitation,2024,28.5,-106.875,0.49,0.22,0.03,0.02,0,0.79,4.12,2.03,1.01,0.04,0.02,0,0.74
Precipitation,2024,28.5,-107.5,0.52,0.22,0.03,0.02,0,0.76,4.35,2.2,0.75,0.06,0.02,0,0.75
Precipitation,2024,29,-105,0.08,0.09,0,0.04,0,0.34,1.33,0.3,1.47,0.01,0.09,0,0.31
Precipitation,2024,29,-105.625,0.06,0.09,0.01,0.01,0,0.52,1.4,0.49,1.29,0.06,0.04,0,0.33
Precipitation,2024,29,-106.25,0.14,0.19,0.03,0,0,0.67,1.68,0.94,0.84,0.1,0.04,0,0.39
Precipitation,2024,29,-106.875,0.36,0.36,0.08,0.02,0,0.72,2.93,1.6,0.7,0.06,0.07,0,0.58
Precipitation,2024,29,-107.5,0.43,0.39,0.09,0.02,0,0.62,3.32,1.81,0.64,0.04,0.08,0,0.62
Precipitation,2024,29.5,-105,0.14,0.14,0.01,0.08,0,0.28,1.58,0.26,1.34,0.01,0.18,0.01,0.34
Precipitation,2024,29.5,-105.625,0.1,0.19,0.03,0.04,0,0.36,1.51,0.45,1.25,0.04,0.11,0,0.34
Precipitation,2024,29.5,-106.25,0.1,0.33,0.07,0.01,0,0.49,1.39,0.84,0.75,0.07,0.11,0,0.35
Precipitation,2024,29.5,-106.875,0.23,0.51,0.11,0.02,0,0.63,1.82,1.28,0.52,0.05,0.13,0,0.44
Precipitation,2024,29.5,-107.5,0.31,0.58,0.14,0.03,0,0.64,2.29,1.5,0.49,0.02,0.16,0,0.51
Precipitation,2025,28,-105,0.08,0,0.02,0.02,0.34,2,2.14,0.77,1.59,0.15,0,0.02,0.6
Precipitation,2025,28,-105.625,0.12,0,0,0.02,0.27,2.74,2.59,1.33,1.81,0.26,0.01,0.06,0.77
Precipitation,2025,28,-106.25,0.24,0,0,0.01,0.24,3.43,3.83,2.44,2.46,0.48,0.05,0.11,1.11
Precipitation,2025,28,-106.875,0.45,0.01,0.02,0.01,0.19,3.96,4.63,3.02,3.5,0.65,0.13,0.11,1.4
Precipitation,2025,28,-107.5,0.42,0.01,0.02,0.01,0.18,3.92,4.63,3.15,3.53,0.67,0.12,0.1,1.4
Precipitation,2025,28.5,-105,0.1,0,0.04,0.04,0.31,1.74,1.89,0.82,1.11,0.21,0.01,0.01,0.53
Precipitation,2025,28.5,-105.625,0.16,0,0.01,0.03,0.31,2.4,2.55,1.41,1.64,0.38,0.02,0.01,0.75
Precipitation,2025,28.5,-106.25,0.36,0,0,0.02,0.28,3.16,3.77,2.48,2.54,0.66,0.07,0.03,1.12
Precipitation,2025,28.5,-106.875,0.69,0,0,0.02,0.22,3.5,4.57,2.83,3.54,0.86,0.14,0.04,1.37
Precipitation,2025,28.5,-107.5,0.63,0,0.01,0.01,0.21,3.71,4.68,2.91,3.61,0.86,0.16,0.04,1.41
Precipitation,2025,29,-105,0.08,0,0.07,0.06,0.27,1.61,1.94,0.8,0.92,0.36,0.01,0,0.51
Precipitation,2025,29,-105.625,0.16,0,0.02,0.04,0.31,2.27,2.76,1.5,1.63,0.57,0.03,0,0.78
Precipitation,2025,29,-106.25,0.44,0,0,0.02,0.25,3.12,3.78,2.57,2.62,0.96,0.08,0,1.16
Precipitation,2025,29,-106.875,0.87,0,0,0.03,0.17,3.56,4.38,3.12,3.5,1.22,0.15,0.02,1.43
Precipitation,2025,29,-107.5,0.92,0,0,0.03,0.15,3.53,4.41,2.95,3.69,1.24,0.17,0.02,1.43
Precipitation,2025,29.5,-105,0.04,0,0.1,0.09,0.21,1.54,2.15,0.7,1.18,0.52,0.01,0,0.55
Precipitation,2025,29.5,-105.625,0.14,0,0.03,0.09,0.23,1.95,2.81,1.37,1.78,0.74,0.03,0,0.77
Precipitation,2025,29.5,-106.25,0.39,0,0.01,0.06,0.17,2.58,3.44,2.27,2.51,1.19,0.06,0,1.06
Precipitation,2025,29.5,-106.875,0.73,0,0.01,0.04,0.09,3.13,3.99,2.97,3.18,1.47,0.11,0.01,1.32
Precipitation,2025,29.5,-107.5,0.89,0,0,0.06,0.06,3.05,3.87,2.86,3.31,1.58,0.14,0.02,1.33
-END HEADER-,,,,,,,,,,,,,,,,
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Wind Speed,2020,28,-105,3.74,4,4.14,4.02,3.77,4,3.63,4,3.2,3.37,3.75,3.43,3.75
Wind Speed,2020,28,-105.625,3.64,3.89,4.3,4.37,3.7,3.78,3.29,3.53,3.04,3.1,3.52,3.33,3.62
Wind Speed,2020,28,-106.25,3.8,4.26,4.91,4.95,4.12,3.7,3.13,3.33,3.13,3.25,3.68,3.6,3.82
Wind Speed,2020,28,-106.875,4.03,4.76,5.38,5.06,4.12,3.6,3.31,3.27,3.28,3.42,4.01,4.01,4.02
Wind Speed,2020,28,-107.5,2.49,2.88,3.28,3.01,2.37,2.04,1.87,2.01,2.04,2.23,2.6,2.62,2.45
Wind Speed,2020,28.5,-105,3.53,3.83,4.12,3.93,3.63,3.79,3.69,3.92,3.2,3.28,3.68,3.4,3.67
Wind Speed,2020,28.5,-105.625,3.32,3.63,4.01,3.88,3.43,3.52,3.23,3.37,2.86,2.93,3.35,3.21,3.39
Wind Speed,2020,28.5,-106.25,3.92,4.34,4.98,5,4.08,3.66,3.22,3.3,3.15,3.27,3.81,3.78,3.87
Wind Speed,2020,28.5,-106.875,4.28,4.98,5.45,5.22,4.21,3.79,3.43,3.37,3.5,3.5,4.19,4.33,4.18
Wind Speed,2020,28.5,-107.5,3.32,3.87,4.45,3.98,3.03,2.78,2.42,2.59,2.71,2.91,3.44,3.52,3.25
Wind Speed,2020,29,-105,3.31,3.71,3.89,3.9,3.65,3.62,3.58,3.7,3.15,3.07,3.4,3.21,3.51
Wind Speed,2020,29,-105.625,3.25,3.62,3.84,3.82,3.49,3.48,3.15,3.29,2.98,2.9,3.29,3.19,3.36
Wind Speed,2020,29,-106.25,4.1,4.46,4.96,5.04,4.07,3.75,3.27,3.35,3.34,3.42,3.95,3.92,3.97
Wind Speed,2020,29,-106.875,4.56,5.28,5.88,5.48,4.38,3.97,3.4,3.41,3.75,3.67,4.52,4.67,4.41
Wind Speed,2020,29,-107.5,3.8,4.46,5.26,4.61,3.54,3.32,2.73,2.88,3.15,3.3,3.93,4.03,3.75
Wind Speed,2020,29.5,-105,3.44,3.81,3.99,4.21,3.96,3.78,3.55,3.44,3.21,3,3.34,3.28,3.58
Wind Speed,2020,29.5,-105.625,3.61,3.93,4.07,4.19,3.95,3.93,3.34,3.4,3.4,3.16,3.61,3.46,3.67
Wind Speed,2020,29.5,-106.25,4.13,4.33,4.67,4.78,4.11,4.05,3.25,3.42,3.6,3.58,3.97,3.87,3.98
Wind Speed,2020,29.5,-106.875,4.43,4.97,5.56,5.05,4.2,3.98,3.16,3.31,3.82,3.71,4.4,4.35,4.24
Wind Speed,2020,29.5,-107.5,3.91,4.42,5.45,4.74,3.77,3.57,2.73,2.8,3.19,3.37,3.94,4.01,3.82
Wind Speed,2021,28,-105,3.51,3.88,4.9,4.27,4.14,4.1,3.14,3.11,3.07,3.51,2.96,3.47,3.67
Wind Speed,2021,28,-105.625,3.48,3.96,4.87,4.21,4.03,3.79,2.76,2.8,2.7,3.35,2.75,3.77,3.54
Wind Speed,2021,28,-106.25,3.87,4.73,5.31,4.93,4.63,4.11,2.73,2.68,2.82,3.57,2.9,4.26,3.87
Wind Speed,2021,28,-106.875,4.29,5.45,5.88,5.35,4.94,4.28,2.88,2.71,3.2,3.87,3.06,4.7,4.21
Wind Speed,2021,28,-107.5,2.63,3.15,3.46,3.16,2.84,2.35,1.75,1.7,2.02,2.39,2.04,2.87,2.53
Wind Speed,2021,28.5,-105,3.47,3.68,4.81,4.19,3.99,4.05,3.07,3.07,2.9,3.53,3.04,3.38,3.6
Wind Speed,2021,28.5,-105.625,3.28,3.6,4.57,3.95,3.66,3.7,2.62,2.54,2.43,3.17,2.74,3.43,3.31
Wind Speed,2021,28.5,-106.25,3.94,4.78,5.46,4.82,4.57,4.24,2.71,2.59,2.68,3.59,3.04,4.33,3.89
Wind Speed,2021,28.5,-106.875,4.45,5.6,6.07,5.33,5.01,4.42,2.97,2.81,3.21,3.98,3.29,4.74,4.32
Wind Speed,2021,28.5,-107.5,3.47,4.29,4.68,4.16,3.73,3.06,2.27,2.25,2.59,3.22,2.63,3.81,3.34
Wind Speed,2021,29,-105,3.29,3.41,4.66,4.04,3.82,3.8,2.9,2.97,2.81,3.41,2.97,3.19,3.44
Wind Speed,2021,29,-105.625,3.21,3.49,4.5,3.87,3.67,3.75,2.54,2.5,2.47,3.11,2.8,3.21,3.26
Wind Speed,2021,29,-106.25,4.09,4.88,5.7,4.77,4.53,4.33,2.73,2.62,2.74,3.68,3.14,4.41,3.96
Wind Speed,2021,29,-106.875,4.78,5.87,6.51,5.56,5.17,4.51,3.02,2.92,3.23,4.24,3.42,5.14,4.52
Wind Speed,2021,29,-107.5,3.99,4.94,5.49,4.85,4.35,3.56,2.55,2.55,2.87,3.8,2.89,4.5,3.86
Wind Speed,2021,29.5,-105,3.31,3.52,4.84,4.27,3.86,3.83,2.84,3,2.89,3.52,2.93,3.27,3.51
Wind Speed,2021,29.5,-105.625,3.52,3.79,4.94,4.29,4,4.09,2.79,2.88,2.85,3.47,3.03,3.39,3.59
Wind Speed,2021,29.5,-106.25,4.14,4.68,5.57,4.71,4.33,4.39,2.86,2.74,2.91,3.74,3.16,4.13,3.94
Wind Speed,2021,29.5,-106.875,4.64,5.4,6.28,5.19,4.83,4.4,2.97,2.87,3.07,4.12,3.26,4.86,4.32
